id,name,util,f0,v3_failed,v3_base,f_guided,delta_guided,delta_random,improvement,demote,promote
0,sys_0,0.5,335.4673800356239,False,158.53023461974138,233.1547666137271,-102.31261342189677,744.8683694230465,847.1809828449433,task2_2,task1_0
1,sys_1,0.5045454545454545,1093.6712048543757,False,226.90433587083862,223.644434394124,-870.0267704602517,461.47821607842127,1331.504986538673,task1_3,task0_2
2,sys_2,0.5090909090909089,1798.2226070985464,False,159.54872911164276,208.78427470732356,-1589.438332391223,10.010766934840058,1599.449099326063,task0_3,task0_0
3,sys_3,0.5136363636363637,330.38584983844845,False,149.48561234413827,239.68698965864473,-90.69886017980372,79.75657411950115,170.45543429930487,task1_3,task0_0
4,sys_4,0.5181818181818182,256.0804248482851,False,168.14533863681626,417.0326761524193,160.95225130413422,14.938001468778959,-146.01424983535526,task0_2,task2_0
5,sys_5,0.5227272727272728,4223.836322887858,False,227.5069886799182,3328.0973295645417,-895.7389933233162,-652.1642440402293,243.57474928308693,task1_2,task1_1
6,sys_6,0.5272727272727272,484.39331086595917,False,183.51354770409782,318.93436313104826,-165.4589477349109,-19.19248524120844,146.26646249370248,task1_3,task1_2
7,sys_7,0.5318181818181819,279.4384124384837,False,219.1281096290453,401.9066419276944,122.46822948921073,28.395260531701286,-94.07296895750945,task0_3,task1_0
8,sys_8,0.5363636363636365,230.2337201991824,False,160.89881912094287,196.86359767691837,-33.37012252226401,5.327937496912284,38.698060019176296,task2_2,task2_1
9,sys_9,0.5409090909090909,265.5977693904401,False,234.21128910650273,518.9880140676029,253.3902446771628,52.67231592074485,-200.71792875641796,task1_3,task2_1
10,sys_10,0.5454545454545454,540.3895325065524,False,180.75854517075564,851.0848470198192,310.6953145132668,-121.78606359663937,-432.48137810990613,task0_1,task1_0
11,sys_11,0.55,449.0350905635699,False,216.18313579168657,2002.5478994252255,1553.5128088616557,625.5416093521774,-927.9711995094783,task1_3,task2_0
12,sys_12,0.5545454545454546,363.1760683139837,False,152.62539320807574,1963.5402888337874,1600.3642205198037,222.36246644879702,-1378.0017540710066,task0_3,task2_0
13,sys_13,0.5590909090909091,447.69126607596496,False,248.82363718611188,311.01284708661524,-136.67841898934972,1512.9935884199342,1649.6720074092839,task2_3,task1_0
14,sys_14,0.5636363636363636,809.6910638230129,False,223.05541590993099,454.67372208679654,-355.01734173621634,-170.8025174272975,184.21482430891885,task2_1,task2_0
15,sys_15,0.5681818181818181,343.99641252333953,False,182.13371328188336,330.42309716749304,-13.57331535584649,6.0133718980120765,19.586687253858564,task2_3,task1_3
16,sys_16,0.5727272727272728,671.6990497518182,False,219.53044309114088,500.2478314614721,-171.45121829034605,91.57850805066919,263.02972634101525,task1_2,task1_0
17,sys_17,0.5772727272727273,289.7298475831742,False,198.54906717589157,492.1333106283524,202.40346304517817,60.96951530295736,-141.43394774222082,task0_3,task2_1
