id,name,util,cos_sim,norm_hol,norm_v3,n_finite
0,sys_0,0.5,0.8913685321865933,4.92160768529088,12.61690132678063,12
1,sys_1,0.5045454545454545,0.9832127144439197,13.258121202584373,173.40476322990827,12
2,sys_2,0.5090909090909089,0.9600748767435693,28.550150825593846,28.221871032804042,12
3,sys_3,0.5136363636363637,0.8046954182779076,5.754225502150969,10.614420797999811,12
4,sys_4,0.5181818181818182,0.9849856920646597,3.9721250952108873,3.583045899275341,12
5,sys_5,0.5227272727272728,0.33019843255163095,40.56955617420814,33.37735040540387,12
6,sys_6,0.5272727272727272,0.9800019636620372,5.477225578865835,10.824841081669438,12
7,sys_7,0.5318181818181819,0.9726214929827809,3.8586122995359053,4.266504736263721,12
8,sys_8,0.5363636363636365,0.9037034974326852,4.346134938253949,5.0474015084285995,12
9,sys_9,0.5409090909090909,0.9718109223648288,4.176654693001394,5.595916766141454,12
10,sys_10,0.5454545454545454,0.5956873087488638,6.904105066886857,21.403377532589005,12
11,sys_11,0.55,0.9433099228656161,5.07718207343149,8.36049274174261,12
12,sys_12,0.5545454545454546,0.9637025302121759,6.463573138775294,22.979808928002488,12
13,sys_13,0.5590909090909091,0.8906621860315577,5.8783973642855765,12.96321810213135,12
14,sys_14,0.5636363636363636,0.6799739160926094,7.767453465302109,21.534808518633962,12
15,sys_15,0.5681818181818181,0.9905289481967923,4.795831520489002,5.462046359437288,12
16,sys_16,0.5727272727272728,0.9693551617320305,8.900686617221616,19.963397494293474,12
17,sys_17,0.5772727272727273,0.9676052775294176,5.120763832489418,7.36121341899751,12
18,sys_18,0.5818181818181818,0.9160281206816264,37.29611242469221,526.7175901300376,12
19,sys_19,0.5863636363636363,0.9582401418229931,5.249338591620033,8.219021665511772,12
20,sys_20,0.5909090909090909,0.8653931906926177,5.792715732258209,8.364215289442866,12
21,sys_21,0.5954545454545455,0.18758097348722996,50.335540765147776,50.31290932949527,12
22,sys_22,0.6,0.9188672410716879,8.373237792196724,23.170438077622247,12
23,sys_23,0.6045454545454545,0.8882610745916869,20.507451225686314,151.73361305580937,12
24,sys_24,0.6090909090909091,0.2955343435089481,16.83580840501216,22.008484781568427,12
25,sys_25,0.6136363636363636,0.3508996267364035,19.922070411401833,95.29404840793285,12
26,sys_26,0.6181818181818182,0.9882797714009891,5.4569018468113795,8.316656090720357,12
27,sys_27,0.6227272727272727,0.9800708537881602,8.602325263605735,47.760245103455084,12
28,sys_28,0.6272727272727272,0.987839863451215,5.405758243784659,6.649092919071148,12
29,sys_29,0.6318181818181818,0.9200701066749334,7.549834436286836,13.904479582531902,12
30,sys_30,0.6363636363636364,0.9646128502168856,24.997777650150923,513.87125657218,12
31,sys_31,0.6409090909090909,0.9699110816260267,6.091888957271081,13.549939552406912,12
32,sys_32,0.6454545454545455,0.9879969058420373,5.849976260010312,10.420699920074748,12
33,sys_33,0.6499999999999999,0.934601962709057,5.981452820464176,9.219701032979035,12
34,sys_34,0.6545454545454547,0.9914076058902138,6.173419716522966,10.522814343608557,12
35,sys_35,0.6590909090909091,0.9951670515802714,48.752207979637824,1921.10429704697,12
36,sys_36,0.6636363636363636,0.8024615906134426,9.820613244759393,198.6662541887623,12
37,sys_37,0.6681818181818183,0.9689197457056704,4.772607025518427,5.954434110926617,12
38,sys_38,0.6727272727272727,-0.5480956634102472,20.434176175118786,4992.5326517985995,12
39,sys_39,0.6772727272727272,0.96572398782995,4.85340659387368,6.337531749607839,12
40,sys_40,0.681818181818182,0.3740324921933002,34.58323294814683,15.621777996636428,12
41,sys_41,0.6863636363636364,0.8054978259213965,11.527744311501458,32.38206725802723,12
42,sys_42,0.6909090909090909,0.8760311976546319,16.812693628196204,72.58717655714189,12
43,sys_43,0.6954545454545454,0.6681814544343474,47.50438577428726,51.968802654849014,12
44,sys_44,0.7000000000000001,0.6285562737497605,80.38725712728626,118.24470964552799,12
45,sys_45,0.7045454545454545,0.7532436377616123,38.0584345857526,47.61564799468332,12
46,sys_46,0.709090909090909,0.8955156825249446,10.703062900264166,72.15892890168337,12
47,sys_47,0.7136363636363637,0.12466638108085298,20.185253144353254,5.027696238464001,12
48,sys_48,0.7181818181818181,0.9825654114460628,7.133644860233303,11.310283485101621,12
49,sys_49,0.7227272727272727,0.10703756586334316,53.423881425796544,433.83405560993947,12
50,sys_50,0.7272727272727272,0.8184576658048749,23.103631261226543,32.30149856044205,12
51,sys_51,0.7318181818181818,0.7804366656808713,20.50203242622196,69.42022722189988,12
52,sys_52,0.7363636363636363,0.9691945463163274,8.326664001872862,23.05518183767305,12
53,sys_53,0.7409090909090909,0.9362927919864522,53.19878864915088,89.9428614743347,12
54,sys_54,0.7454545454545455,0.8959836010733353,26.97735676659611,169.26808822623838,12
55,sys_55,0.75,0.9875066542497485,11.075498479194508,49.37078754533764,12
56,sys_56,0.7545454545454545,0.946464607945734,9.99999999976353,29.38181176612608,12
57,sys_57,0.7590909090909091,-0.596769027321824,24.792471973038797,139.86657914600153,12
58,sys_58,0.7636363636363637,0.8757744681259281,18.107702482121898,56.12271334501648,12
59,sys_59,0.7681818181818181,0.6326752322675969,24.731895765812112,94.85707775893171,12
60,sys_60,0.7727272727272728,0.6931247352150958,18.98537450659854,27.57746740626534,12
61,sys_61,0.7772727272727272,-0.2209008178338385,21.168635097775056,36.791464633294055,12
62,sys_62,0.7818181818181816,0.7604758009389415,30.951575086929633,1264.3523160141951,12
63,sys_63,0.7863636363636365,0.7945858626737721,25.317977803832154,25.96470610147206,12
64,sys_64,0.790909090909091,0.9803915896279449,18.83849487507942,935.7116642989524,12
65,sys_65,0.7954545454545454,0.6213224206597959,25.681813713314888,27.930035868635215,12
66,sys_66,0.7999999999999998,0.9467049386970622,8.768630951415222,24.674377481894155,12
67,sys_67,0.8045454545454543,0.8982656475594705,20.34152839859288,86.77394044619243,12
68,sys_68,0.8090909090909091,0.34284349911802825,14.34495653969294,188.5117632644011,12
69,sys_69,0.8136363636363636,0.031084792387226175,36.54373329903384,142.57043286185598,12
70,sys_70,0.818181818181818,0.9877347416213529,6.19139187303284,11.087661034734671,12
71,sys_71,0.8227272727272728,-0.5269511290199623,24.54021642601545,497.4503929336628,12
72,sys_72,0.8272727272727273,0.9533824857944891,10.246950773002808,33.28466607052159,12
73,sys_73,0.8318181818181817,0.9588306835460343,13.828312347713732,61.68442603609528,12
74,sys_74,0.8363636363636363,0.3273460958021748,35.76155605465562,294.99946002395495,12
75,sys_75,0.8409090909090908,0.889799764578474,21.697414087130973,155.697303715355,12
76,sys_76,0.8454545454545456,0.994664047462691,13.691035188905909,111.39599596863441,12
77,sys_77,0.85,0.45890879438776494,22.801072105804263,4665.613916347093,12
78,sys_78,0.8545454545454545,0.12335538384565167,18.187297175654418,492.8047497172558,12
79,sys_79,0.859090909090909,0.8576910080787508,36.7635084650218,561.6422742962862,12
80,sys_80,0.8636363636363636,0.36080570994482414,22.912878482093408,25.70834041669265,12
81,sys_81,0.8681818181818182,0.9444143643179165,17.804493834091407,23.18109645752907,12
82,sys_82,0.8727272727272727,-0.6374843551763614,17.644640374889953,274.34178475178027,12
83,sys_83,0.8772727272727273,0.12540145645857922,17.3557547347869,15.38173545874044,12
84,sys_84,0.8818181818181818,-0.7813301461134434,28.940552115289712,103.7530656489721,12
85,sys_85,0.8863636363636362,0.31093134375373993,33.50787634687189,17.065932115280308,12
86,sys_86,0.890909090909091,0.9671911872712606,18.970737715603114,96.61087600193609,12
87,sys_87,0.8954545454545455,0.9678529517832334,21.07394390301365,671.5190083974886,12
88,sys_88,0.8999999999999999,0.34902321068525305,22.53145950426948,136.74336411801653,12
89,sys_89,0.9045454545454547,-0.2755220794919233,14.753530688126864,52.21802907646298,12
90,sys_90,0.9090909090909088,0.45204816399770587,19.82702981216435,20926.31142913992,12
91,sys_91,0.9136363636363636,0.239550972222548,18.586135825619582,177.78143446630216,12
92,sys_92,0.9181818181818183,0.9610467522018115,15.158422669097629,242.87033099360593,12
93,sys_93,0.9227272727272727,0.9537528286720046,18.181186865181978,205.23848984787668,12
94,sys_94,0.9272727272727272,0.9763554812166847,18.565200436855964,88.63827210715286,12
95,sys_95,0.9318181818181817,0.9297717294881789,21.1817531484035,722.1507388570175,12
96,sys_96,0.9363636363636362,-0.315469903154251,25.54516697878948,229.56431318516445,12
97,sys_97,0.9409090909090909,-0.04342527232059795,10.8781125727343,611.4264915668999,12
98,sys_98,0.9454545454545453,0.9840046376105089,20.31419865141271,487.2545597382569,12
99,sys_99,0.9500000000000001,0.7334861189024119,16.743157802251,175.22234794954176,12
