id,seed,name,n_flows,n_tasks,n_procs,utilization,holistic_invslack,holistic_system_slack,holistic_avg_wcrt,holistic_max_wcrt,holistic_schedulable,V1_iter_invslack,V1_iter_system_slack,V1_iter_avg_wcrt,V1_iter_max_wcrt,V1_iter_schedulable,V2_2pass_invslack,V2_2pass_system_slack,V2_2pass_avg_wcrt,V2_2pass_max_wcrt,V2_2pass_schedulable,V2_5pass_invslack,V2_5pass_system_slack,V2_5pass_avg_wcrt,V2_5pass_max_wcrt,V2_5pass_schedulable,V3_oneshot_invslack,V3_oneshot_system_slack,V3_oneshot_avg_wcrt,V3_oneshot_max_wcrt,V3_oneshot_schedulable
0,1000,sys_0,3,12,3,0.5,-0.1752945594220252,0.1752945594220252,335.4673800356239,646.9836957337134,True,-0.4780797795320024,0.4780797795320024,238.38634133556107,409.4478543513536,True,-0.5778985390755831,0.5778985390755831,193.11934679729595,294.02741494437544,True,-0.4919291308002659,0.4919291308002659,234.33298851273298,398.5830000334582,True,-0.47807977953200254,0.47807977953200254,238.38634133556107,409.44785435135356,True
1,1001,sys_1,3,12,3,0.5045454545454545,1.8117655788134217,-1.8117655788134217,1093.6712048543757,1734.311884346937,False,1.0411791913195088,-1.0411791913195088,825.4633497310582,1343.5688151193162,False,-0.355134812951621,0.355134812951621,253.21459055417293,336.3212165561928,True,-0.019756427298187416,0.019756427298187416,390.44949535319876,577.4927218246995,True,1.041179191319514,-1.041179191319514,825.4633497310605,1343.5688151193206,False
2,1002,sys_2,3,12,3,0.5090909090909089,9.004534724612173,-9.004534724612173,1798.2226070985464,5040.260561541104,False,9.578141068537223,-9.578141068537223,1844.4525980423425,5329.242059703407,False,-0.3032176446642491,0.3032176446642491,184.3327690526535,351.03727681975204,True,0.842600131790465,-0.842600131790465,377.41796660199316,928.297520134195,False,inf,-inf,inf,inf,False
3,1003,sys_3,3,12,3,0.5136363636363637,0.13355767155911033,-0.13355767155911033,330.38584983844845,532.4779641363207,False,-0.31615389238397273,0.31615389238397273,205.97923136422673,314.1302821822269,True,-0.45092369872527455,0.45092369872527455,170.52001443862858,253.54562678586802,True,-0.35552293558499226,0.35552293558499226,196.16791461542778,297.98998150440076,True,-0.3161538923839727,0.3161538923839727,205.97923136422676,314.13028218222695,True
4,1004,sys_4,3,12,3,0.5181818181818182,-0.4158224743167883,0.4158224743167883,256.0804248482851,366.7017767866404,True,-0.6317017875262865,0.6317017875262865,156.54354253890725,231.18932681209034,True,-0.6346796356873922,0.6346796356873922,155.31743735707082,229.32006248118142,True,-0.631711306449214,0.631711306449214,156.53960881838353,231.18335156347646,True,-0.6317017875262865,0.6317017875262865,156.54354253890722,231.18932681209034,True
5,1005,sys_5,3,12,3,0.5227272727272728,9.297076340552819,-9.297076340552819,4223.836322887858,5114.617772040667,False,9.923100442189222,-9.923100442189222,4103.298500291957,5425.5675882856385,False,-0.2972524335421998,0.2972524335421998,379.5696794917076,474.0292261540133,True,0.5380854982401454,-0.5380854982401454,904.1142564282409,992.2992831207025,False,0.6187885678488015,-0.6187885678488015,583.5842113300928,1047.0674494207562,False
6,1006,sys_6,3,12,3,0.5272727272727272,0.9776101622348544,-0.9776101622348544,484.39331086595917,711.1733389122197,False,0.025186880709219577,-0.025186880709219577,292.09546862589656,377.775691524802,False,-0.196186232424343,0.196186232424343,242.87151213233142,309.98480764687895,True,-0.004423769152347777,0.004423769152347777,285.3558005711507,368.20582977151656,True,0.02518688070921926,-0.02518688070921926,292.0954686258965,377.77569152480197,False
7,1007,sys_7,3,12,3,0.5318181818181819,-0.3651512940133037,0.3651512940133037,279.4384124384837,585.431870562176,True,-0.5530456130171622,0.5530456130171622,200.92974990585276,412.1633081391469,True,-0.5713170250385384,0.5713170250385384,195.3096844059622,395.3141489353622,True,-0.5534737761485902,0.5534737761485902,200.79813827784463,411.7684733689507,True,-0.5530456130171622,0.5530456130171622,200.92974990585276,412.1633081391469,True
8,1008,sys_8,3,12,3,0.5363636363636365,-0.42839762915835605,0.42839762915835605,230.2337201991824,396.3183346718006,True,-0.6311157978165082,0.6311157978165082,146.9988626407496,255.76446171983972,True,-0.6535291471775719,0.6535291471775719,138.88140435835297,240.22425099588008,True,-0.6339034466013134,0.6339034466013134,145.9939455122806,253.83165601363322,True,-0.6311157978165082,0.6311157978165082,146.9988626407496,255.76446171983972,True
9,1009,sys_9,3,12,3,0.5409090909090909,-0.014979447336356306,0.014979447336356306,265.5977693904401,388.1867775188905,True,-0.5277313706333908,0.5277313706333908,185.28463987509838,351.7258522665082,True,-0.557044766110864,0.557044766110864,172.90368923471885,325.42342594870365,True,-0.5287888867441064,0.5287888867441064,184.5026689645022,349.76636308333104,True,-0.5277313706333908,0.5277313706333908,185.28463987509838,351.7258522665082,True
